,latitude,longitude,value
0,13.732846,100.487662,34.3
1,13.636514,100.414262,33.9
2,13.666183,100.605742,32.1
3,13.77553,100.569195,31.0
4,13.70806667,100.5473333,28.8
5,13.729852,100.536501,34.0
6,13.727622,100.486568,31.5
7,13.7954248,100.5930298,30.3
8,13.76251667,100.5502,37.8
9,13.783185,100.540489,25.6
10,13.769634,100.614567,24.7
11,13.785212,100.669183,39.4
12,13.859911,100.704002,-1.0
13,13.677757,100.483861,-1.0
14,13.793965,100.504956,38.9
15,13.696314,100.409049,-1.0
16,13.659908,100.435902,34.4
17,13.76121,100.517035,-1.0
18,13.69304,100.50244,29.4
19,13.732225,100.5448381,-1.0
20,13.8118516,100.5535825,64.1
21,13.802546,100.5509191,29.5
22,13.6881393,100.6579657,-1.0
23,13.7631141,100.7302101,33.2
24,13.7304916,100.5684634,-1.0
25,13.9288678,100.5684666,-1.0
26,13.6502295,100.4909771,30.3
27,13.7328791,100.5600172,-1.0
28,13.8055472,100.5488338,31.6
29,13.7716446,100.4681128,-1.0
30,13.7855673,100.6733359,-1.0
31,13.6863478,100.3844036,26.6
32,13.7435329,100.3526893,-1.0
33,13.7201042,100.7807077,27.1
34,13.855656,100.8585539,32.5
35,13.8778763,100.6207085,-1.0
36,13.697252,100.497185,25.1
37,13.7693437,100.4945337,-1.0
38,13.7619223,100.558606,31.8
39,13.691511,100.61457,26.0
40,13.6821364,100.5060513,-1.0
41,13.7590851,100.5345788,-1.0
42,13.776664,100.520982,31.8
43,13.756281,100.514267,32.5
44,13.737136,100.512734,35.9
45,13.783554,100.5344645,31.9
46,13.778981,100.622294,38.9
47,13.733136,100.52829,43.4
48,13.726136,100.528055,-1.0
49,13.707763,100.526787,44.8
50,13.679226,100.54687,35.9
51,13.722096,100.584559,31.3
52,13.731051,100.651705,-1.0
53,13.667987,100.635313,39.3
54,13.839923,100.575632,37.2
55,13.910986,100.594877,33.6
56,13.896035,100.660628,35.5
57,13.766478,100.647785,-1.0
58,13.813844,100.686594,32.7
59,13.72205,100.784069,35.1
60,13.813578,100.73208,35.0
61,13.855362,100.86267,-1.0
62,13.695561,100.647615,-1.0
63,13.70515,100.48465,31.9
64,13.719705,100.508782,41.3
65,13.729431,100.474373,-1.0
66,13.759619,100.481137,42.4
67,13.780778,100.426727,-1.0
68,13.746257,100.355099,35.0
69,13.718689,100.45391,-1.0
70,13.705582,100.343164,-1.0
71,13.639165,100.372958,-1.0
72,13.651004,100.496673,34.6
73,13.76415,100.499077,32.6
74,13.77682,100.579543,31.0
75,13.708488,100.583747,35.5
76,13.809596,100.537883,34.8
77,13.803587,100.607535,29.8
78,13.887395,100.579247,33.6
79,13.873603,100.595839,-1.0
80,13.768892,100.685743,27.7
81,13.779873,100.646009,30.0
82,14.022376,99.536195,40.9
83,16.4436,103.513,59.2
84,16.475374,99.525425,41.6
85,16.44538333,102.83525,56.6
86,12.6095704,102.1040804,36.9
87,13.5885,101.2863333,35.1
